length, entropy, alexa_grams, word_grams, diff, class
16,3.625,52.034859,66.248388,-14.213529,legit
10,2.721928,26.081266,34.875759,-8.794493,legit
18,3.503258,73.639321,49.178071,24.46125,legit
10,2.921928,37.811207,31.080095,6.731113,legit
14,3.378783,57.128299,62.396567,-5.268268,legit
27,3.500284,106.519316,165.211952,-58.692637,legit
13,3.238901,53.173283,45.875698,7.297585,legit
12,3.418296,16.450908,17.248275,-0.797368,legit
8,3,23.513443,34.67689,-11.163447,legit
11,2.845351,27.532444,37.960468,-10.428024,legit
12,3.084963,32.337371,21.366191,10.97118,legit
12,3.584963,56.946222,51.320256,5.625966,legit
7,2.235926,14.449592,20.571042,-6.12145,legit
11,3.027169,39.355821,44.626575,-5.270754,legit
14,3.039149,48.803702,48.932926,-0.129223,legit
9,2.503258,29.05682,31.712948,-2.656128,legit
17,3.454822,77.063801,103.966844,-26.903043,legit
6,2.251629,7.885379,0,7.885379,legit
18,3.266333,88.308876,92.615543,-4.306667,legit
11,2.845351,47.9843,46.772308,1.211992,legit
7,2.235926,18.301597,19.554239,-1.252642,legit
4,2,4.273511,7.643341,-3.36983,legit
9,2.725481,29.346298,36.790151,-7.443852,legit
15,3.056565,43.748085,49.253134,-5.505049,legit
7,2.807355,11.215619,9.061746,2.153873,legit
6,2.584963,15.896386,20.134793,-4.238407,legit
7,2.235926,19.559412,22.548311,-2.988899,legit
17,3.616875,38.316743,48.796409,-10.479666,legit
11,3.277613,31.318635,44.833291,-13.514656,legit
12,3.084963,32.090121,41.307379,-9.217259,legit
13,3.238901,41.947205,55.851579,-13.904374,legit
14,3.182006,34.215244,49.212608,-14.997364,legit
16,3.625,67.038444,78.811186,-11.772742,legit
15,3.323231,49.560106,58.623798,-9.063692,legit
7,2.521641,9.096422,10.478104,-1.381682,legit
8,3,10.886311,16.442375,-5.556065,legit
10,3.121928,20.791845,18.191777,2.600068,legit
10,3.121928,41.143587,54.142574,-12.998986,legit
8,2.5,12.930917,10.549317,2.3816,legit
9,2.947703,27.238733,35.68175,-8.443017,legit
16,2.899397,76.388278,94.018024,-17.629746,legit
9,2.947703,27.475215,30.62886,-3.153645,legit
22,3.044913,127.048255,169.887674,-42.839419,legit
10,2.846439,24.069875,22.56975,1.500125,legit
6,1.918296,7.793208,7.536805,0.256403,legit
9,2.419382,14.267179,14.642938,-0.375759,legit
7,2.521641,11.506303,12.925204,-1.418901,legit
17,3.146286,76.162842,97.038062,-20.87522,legit
9,2.947703,19.598578,22.630207,-3.031628,legit
16,3.375,40.463054,61.675013,-21.211959,legit
15,3.506891,41.115728,50.041931,-8.926202,legit
11,3.095795,45.682841,52.921994,-7.239153,legit
14,3.039149,65.199658,66.004213,-0.804554,legit
12,3.084963,31.756438,37.963137,-6.2067,legit
14,3.182006,33.495452,39.474012,-5.97856,legit
7,2.235926,19.910597,25.747784,-5.837187,legit
11,2.732159,22.084675,24.848271,-2.763596,legit
17,3.101881,55.381016,85.880116,-30.4991,legit
10,2.721928,26.737099,39.029416,-12.292317,legit
9,2.947703,15.192794,16.909839,-1.717045,legit
4,2,5.610341,7.716167,-2.105826,legit
16,3.375,49.518469,55.083092,-5.564624,legit
15,2.973557,37.451533,43.310516,-5.858982,legit
14,3.46772,47.578767,53.229994,-5.651226,legit
8,2.75,13.997389,15.729332,-1.731943,legit
11,2.594907,36.930416,47.833441,-10.903024,legit
16,3.32782,57.766287,69.227234,-11.460947,legit
17,3.175123,67.561449,77.579679,-10.018229,legit
9,2.725481,26.72931,37.617716,-10.888406,legit
7,2.807355,22.584716,32.850806,-10.26609,legit
7,2.521641,6.685587,8.486869,-1.801282,legit
6,2.584963,4.322901,6.023767,-1.700865,legit
11,2.913977,28.683248,51.02662,-22.343372,legit
17,3.499228,64.865166,75.13605,-10.270884,legit
5,2.321928,7.101966,10.363437,-3.261471,legit
15,3.272906,50.36222,59.010448,-8.648228,legit
8,3,23.284992,32.466331,-9.181339,legit
8,2.5,10.128056,11.308975,-1.180919,legit
8,2.75,19.256237,23.04553,-3.789293,legit
7,2.521641,13.608239,17.848919,-4.24068,legit
9,2.947703,15.237395,21.267139,-6.029744,legit
9,2.947703,30.168136,39.685992,-9.517857,legit
11,3.095795,48.027569,43.742315,4.285254,legit
4,2,3.783117,6.03959,-2.256473,legit
15,3.373557,52.606666,59.267718,-6.661052,legit
12,3.418296,20.511199,27.10752,-6.596321,legit
15,3.189898,55.455033,60.148124,-4.693091,legit
6,2.584963,7.252894,9.001399,-1.748505,legit
